family,order,fidel,english_sound_guide,audio_asset
1,1,ሀ,Huh,assets/sounds/fidel_1200.m4a
1,2,ሁ,Hoo,assets/sounds/fidel_1201.m4a
1,3,ሂ,Hee,assets/sounds/fidel_1202.m4a
1,4,ሃ,Hah,assets/sounds/fidel_1203.m4a
1,5,ሄ,Heh,assets/sounds/fidel_1204.m4a
1,6,ህ,Hih,assets/sounds/fidel_1205.m4a
1,7,ሆ,Hoh,assets/sounds/fidel_1206.m4a
2,1,ለ,Luh,assets/sounds/fidel_1208.m4a
2,2,ሉ,Loo,assets/sounds/fidel_1209.m4a
2,3,ሊ,Lee,assets/sounds/fidel_120a.m4a
2,4,ላ,Lah,assets/sounds/fidel_120b.m4a
2,5,ሌ,Leh,assets/sounds/fidel_120c.m4a
2,6,ል,Lih,assets/sounds/fidel_120d.m4a
2,7,ሎ,Loh,assets/sounds/fidel_120e.m4a
3,1,ሐ,Huh,assets/sounds/fidel_1210.m4a
3,2,ሑ,Hoo,assets/sounds/fidel_1211.m4a
3,3,ሒ,Hee,assets/sounds/fidel_1212.m4a
3,4,ሓ,Hah,assets/sounds/fidel_1213.m4a
3,5,ሔ,Heh,assets/sounds/fidel_1214.m4a
3,6,ሕ,Hih,assets/sounds/fidel_1215.m4a
3,7,ሖ,Hoh,assets/sounds/fidel_1216.m4a
4,1,መ,Muh,assets/sounds/fidel_1218.m4a
4,2,ሙ,Moo,assets/sounds/fidel_1219.m4a
4,3,ሚ,Mee,assets/sounds/fidel_121a.m4a
4,4,ማ,Mah,assets/sounds/fidel_121b.m4a
4,5,ሜ,Meh,assets/sounds/fidel_121c.m4a
4,6,ም,Mih,assets/sounds/fidel_121d.m4a
4,7,ሞ,Moh,assets/sounds/fidel_121e.m4a
5,1,ሠ,Suh,assets/sounds/fidel_1220.m4a
5,2,ሡ,Soo,assets/sounds/fidel_1221.m4a
5,3,ሢ,See,assets/sounds/fidel_1222.m4a
5,4,ሣ,Sah,assets/sounds/fidel_1223.m4a
5,5,ሤ,Seh,assets/sounds/fidel_1224.m4a
5,6,ሥ,Sih,assets/sounds/fidel_1225.m4a
5,7,ሦ,Soh,assets/sounds/fidel_1226.m4a
6,1,ረ,Ruh,assets/sounds/fidel_1228.m4a
6,2,ሩ,Roo,assets/sounds/fidel_1229.m4a
6,3,ሪ,Ree,assets/sounds/fidel_122a.m4a
6,4,ራ,Rah,assets/sounds/fidel_122b.m4a
6,5,ሬ,Reh,assets/sounds/fidel_122c.m4a
6,6,ር,Rih,assets/sounds/fidel_122d.m4a
6,7,ሮ,Roh,assets/sounds/fidel_122e.m4a
7,1,ሰ,Suh,assets/sounds/fidel_1230.m4a
7,2,ሱ,Soo,assets/sounds/fidel_1231.m4a
7,3,ሲ,See,assets/sounds/fidel_1232.m4a
7,4,ሳ,Sah,assets/sounds/fidel_1233.m4a
7,5,ሴ,Seh,assets/sounds/fidel_1234.m4a
7,6,ስ,Sih,assets/sounds/fidel_1235.m4a
7,7,ሶ,Soh,assets/sounds/fidel_1236.m4a
8,1,ሸ,Shuh,assets/sounds/fidel_1238.wav
8,2,ሹ,Shoo,assets/sounds/fidel_1239.wav
8,3,ሺ,Shee,assets/sounds/fidel_123a.wav
8,4,ሻ,Shah,assets/sounds/fidel_123b.wav
8,5,ሼ,Sheh,assets/sounds/fidel_123c.wav
8,6,ሽ,Shih,assets/sounds/fidel_123d.wav
8,7,ሾ,Shoh,assets/sounds/fidel_123e.wav
9,1,ቀ,Quh,assets/sounds/fidel_1240.m4a
9,2,ቁ,Qoo,assets/sounds/fidel_1241.m4a
9,3,ቂ,Qee,assets/sounds/fidel_1242.m4a
9,4,ቃ,Qah,assets/sounds/fidel_1243.m4a
9,5,ቄ,Qeh,assets/sounds/fidel_1244.m4a
9,6,ቅ,Qih,assets/sounds/fidel_1245.m4a
9,7,ቆ,Qoh,assets/sounds/fidel_1246.m4a
10,1,በ,Buh,assets/sounds/fidel_1260.m4a
10,2,ቡ,Boo,assets/sounds/fidel_1261.m4a
10,3,ቢ,Bee,assets/sounds/fidel_1262.m4a
10,4,ባ,Bah,assets/sounds/fidel_1263.m4a
10,5,ቤ,Beh,assets/sounds/fidel_1264.m4a
10,6,ብ,Bih,assets/sounds/fidel_1265.m4a
10,7,ቦ,Boh,assets/sounds/fidel_1266.m4a
11,1,ተ,Tuh,assets/sounds/fidel_1270.m4a
11,2,ቱ,Too,assets/sounds/fidel_1271.m4a
11,3,ቲ,Tee,assets/sounds/fidel_1272.m4a
11,4,ታ,Tah,assets/sounds/fidel_1273.m4a
11,5,ቴ,Teh,assets/sounds/fidel_1274.m4a
11,6,ት,Tih,assets/sounds/fidel_1275.m4a
11,7,ቶ,Toh,assets/sounds/fidel_1276.m4a
12,1,ቸ,Chuh,assets/sounds/fidel_1278.m4a
12,2,ቹ,Choo,assets/sounds/fidel_1279.m4a
12,3,ቺ,Chee,assets/sounds/fidel_127a.m4a
12,4,ቻ,Chah,assets/sounds/fidel_127b.m4a
12,5,ቼ,Cheh,assets/sounds/fidel_127c.m4a
12,6,ች,Chih,assets/sounds/fidel_127d.m4a
12,7,ቾ,Choh,assets/sounds/fidel_127e.m4a
13,1,ኀ,Huh,assets/sounds/fidel_1280.m4a
13,2,ኁ,Hoo,assets/sounds/fidel_1281.m4a
13,3,ኂ,Hee,assets/sounds/fidel_1282.m4a
13,4,ኃ,Hah,assets/sounds/fidel_1283.m4a
13,5,ኄ,Heh,assets/sounds/fidel_1284.m4a
13,6,ኅ,Hih,assets/sounds/fidel_1285.m4a
13,7,ኆ,Hoh,assets/sounds/fidel_1286.m4a
14,1,ነ,Nuh,assets/sounds/fidel_1290.m4a
14,2,ኑ,Noo,assets/sounds/fidel_1291.m4a
14,3,ኒ,Nee,assets/sounds/fidel_1292.m4a
14,4,ና,Nah,assets/sounds/fidel_1293.m4a
14,5,ኔ,Neh,assets/sounds/fidel_1294.m4a
14,6,ን,Nih,assets/sounds/fidel_1295.m4a
14,7,ኖ,Noh,assets/sounds/fidel_1296.m4a
15,1,ኘ,Nyuh,assets/sounds/fidel_1298.m4a
15,2,ኙ,Nyoo,assets/sounds/fidel_1299.m4a
15,3,ኚ,Nyee,assets/sounds/fidel_129a.m4a
15,4,ኛ,Nyah,assets/sounds/fidel_129b.m4a
15,5,ኜ,Nyeh,assets/sounds/fidel_129c.m4a
15,6,ኝ,Nyih,assets/sounds/fidel_129d.m4a
15,7,ኞ,Nyoh,assets/sounds/fidel_129e.m4a
16,1,አ,Uh,assets/sounds/fidel_12a0.m4a
16,2,ኡ,Oo,assets/sounds/fidel_12a1.m4a
16,3,ኢ,Ee,assets/sounds/fidel_12a2.m4a
16,4,ኣ,Ah,assets/sounds/fidel_12a3.m4a
16,5,ኤ,Eh,assets/sounds/fidel_12a4.m4a
16,6,እ,Ih,assets/sounds/fidel_12a5.m4a
16,7,ኦ,Oh,assets/sounds/fidel_12a6.m4a
17,1,ከ,Kuh,assets/sounds/fidel_12a8.m4a
17,2,ኩ,Koo,assets/sounds/fidel_12a9.m4a
17,3,ኪ,Kee,assets/sounds/fidel_12aa.m4a
17,4,ካ,Kah,assets/sounds/fidel_12ab.m4a
17,5,ኬ,Keh,assets/sounds/fidel_12ac.m4a
17,6,ክ,Kih,assets/sounds/fidel_12ad.m4a
